127.0.0.1 - - [22/Jul/2020:13:44:46 +0100] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:44:49 +0100] "GET /backoffice/prive/ajoutagent HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:44:49 +0100] "GET /backoffice/;jsessionid=751D34F19F83C35960C0E5550C8F81EE HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:44:49 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 200 81110
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:44:59 +0100] "GET /backoffice/ HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:44:59 +0100] "GET /backoffice/Images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:45:00 +0100] "GET /backoffice/test.scss HTTP/1.1" 404 655
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:45:00 +0100] "GET /backoffice/Images/icon4.ico HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:08 +0100] "POST /backoffice/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/prive/home HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/JS/jquery-3.4.1.js HTTP/1.1" 200 290960
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/Style/MonStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/JS/1351.js HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/Images/image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/navbar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:09 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:13 +0100] "GET /backoffice/prive/ajouterprop HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:13 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:15 +0100] "GET /backoffice/prive/ajouteragent HTTP/1.1" 200 4156
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:15 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:17 +0100] "GET /backoffice/prive/ajoutervisite HTTP/1.1" 200 3170
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:17 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:19 +0100] "GET /backoffice/prive/ajouterprop HTTP/1.1" 200 3180
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:46:19 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
